object_class,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId
SnpFKXRef,SNP_COL.183712,Copy of EDW_VODACOM.Global.pmt_meth_type.pmt_meth_type_desc,19.6.13.18,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,c52bcc68-d022-4af1-8da8-050e02d98c73
SnpFKXRef,SNP_MAPREF.1828827,null,null,null,3c593944-ba9c-481b-9248-3726fcb714bd
SnpFKXRef,SNP_MAPATTR.1403554,CW_PRJ_EDW_PILOT.Test.Test_3.pmt_meth_type.OUTPUT1.pmt_meth_type_desc,16.4.6.13.7.18,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,ae6edddf-c687-4d32-83e6-e888f44ec017
SnpFKXRef,SNP_COL.169331,Copy of EDW_SEM.Global.d_pmt_meth_type.pmt_meth_type_cd,15.6.15.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,a1c68c79-4004-4777-93a9-03a03693afb7
SnpFKXRef,SNP_MAPREF.1828817,null,null,null,7c5d826e-44a7-4cfa-96a7-b48f1d699aa9
SnpFKXRef,SNP_MAPATTR.1403551,CW_PRJ_EDW_PILOT.Test.Test_3.d_pmt_meth_type.OUTPUT1.pmt_meth_type_cd,16.4.6.15.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,8af72fef-4994-4f75-a2ae-d96aca6ce673
SnpFKXRef,SNP_MAPEXPR.982207,null,null,null,8f6191de-f677-45ab-98b0-e1b8386b7bcb
SnpFKXRef,SNP_COL.180828,Copy of EDW_VODACOM.Global.pmt_meth_type.pmt_meth_type_cd,19.6.13.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,76e332bd-0772-4007-b269-53e01d97f9c3
SnpFKXRef,SNP_MAPREF.1828815,null,null,null,e7b08aef-3146-4e46-b482-1abd14ff00ca
SnpFKXRef,SNP_MAPATTR.1403547,CW_PRJ_EDW_PILOT.Test.Test_3.pmt_meth_type.OUTPUT1.pmt_meth_type_cd,16.4.6.13.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,7984d970-dcd7-4bfb-8970-b5975dbd8b29
SnpFKXRef,SNP_MAPREF.1828821,null,null,null,85ea0615-1c9a-47ed-b86b-71b48cfca05d
